page_id,page_title,page_url,links
32,PS4 FPKG Games Released by PS4Scene Group AUGETY in June 2023,https://www.psxhax.com/threads/ps4-fpkg-games-released-by-ps4scene-group-augety-in-june-2023.15890/,"https://www.psxhax.com/threads/downloading-ps4-pkg-games-that-are-base64-encoded-or-torrents-guide.10185/,https://www.psxhax.com/threads/ps4-pkg-dlc-region-batch-script-to-change-region-titleid-by-avan06.13506/,https://www.psxhax.com/threads/ps4-tools-context-menu-for-1-click-ps4-pkg-operations-by-jation.13403/,https://www.psxhax.com/threads/ps4-game-fpkgs-released-by-ps4scene-group-augety-in-may-2023.15707/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/ps4-aio-batch-file-script-for-games-updates-with-fpkg-tools-by-jation.12537/,https://www.psxhax.com/threads/remarrying-ps4-pkgs-how-to-remarry-repack-game-updates-to-base-packages.12278/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxdownloader-app-to-transfer-data-from-pc-to-ps4-ps5-consoles.14428/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
33,Aeterna Noctis v1.05 PS4 FPKG Update via Opoisso893 / Golemnight,https://www.psxhax.com/threads/aeterna-noctis-v1-05-ps4-fpkg-update-via-opoisso893-golemnight.15887/,"https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
34,Mid-Year Deals PSN Promotion Goes Live on PlayStation Store,https://www.psxhax.com/threads/mid-year-deals-psn-promotion-goes-live-on-playstation-store.15886/,
35,Latest DLC and Game PS4 FPKGs by MrBOOT (Fugazi) in PS4Scene,https://www.psxhax.com/threads/latest-dlc-and-game-ps4-fpkgs-by-mrboot-fugazi-in-ps4scene.15885/,"https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/new-ps4-game-fpkgs-released-by-mrboot-fugazi-in-ps4scene.15865/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/backported-dungeontop-ps4-fake-pkg-fpkg-by-opoisso893.15877/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
36,Backported DungeonTop PS4 Fake PKG (FPKG) by Opoisso893,https://www.psxhax.com/threads/backported-dungeontop-ps4-fake-pkg-fpkg-by-opoisso893.15877/,"https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/new-ps4-game-fpkgs-released-by-mrboot-fugazi-in-ps4scene.15865/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
37,New PS5 Game Trailer Videos in PlayStation 5 Scene (Part 2),https://www.psxhax.com/threads/new-ps5-game-trailer-videos-in-playstation-5-scene-part-2.15869/,https://www.psxhax.com/threads/new-playstation-5-game-trailer-videos-in-ps5-scene-part-1.15868/
38,New PlayStation 5 Game Trailer Videos in PS5 Scene (Part 1),https://www.psxhax.com/threads/new-playstation-5-game-trailer-videos-in-ps5-scene-part-1.15868/,"https://www.psxhax.com/threads/next-playstation-showcase-on-may-24th-with-new-ps5-ps-vr2-games.15678/,https://www.psxhax.com/threads/new-images-and-ui-of-ps5-access-controller-for-playstation-5.15679/,https://www.psxhax.com/threads/dualsense-edge-developer-experience-ps5-game-trailers-part-2.15646/,https://www.psxhax.com/threads/latest-playstation-5-game-trailer-videos-in-ps5-scene-part-1.15645/"
39,New PS4 Game FPKGs Released by MrBOOT (Fugazi) in PS4Scene!,https://www.psxhax.com/threads/new-ps4-game-fpkgs-released-by-mrboot-fugazi-in-ps4scene.15865/,"https://www.psxhax.com/threads/maid-of-sker-v1-09-and-mekazoo-v1-02-v1-03-ps4-fpkg-updates.15845/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
40,PS5 Homebrew Proof-of-Concept (PoC) & Libhijacker by Astrelsky for PS5Scene,https://www.psxhax.com/threads/ps5-homebrew-proof-of-concept-poc-libhijacker-by-astrelsky-for-ps5scene.15864/,"https://www.psxhax.com/threads/ghidraorbis-updated-ghidra-ps4-loader-plugin-by-astrelsky.9975/,https://www.psxhax.com/threads/ps5-redis-elf-by-euro-ali-to-connect-to-redis-server-on-playstation-5.14529/,https://www.psxhax.com/threads/ps5-ipv6-kernel-exploit-v1-02-v1-03-ps5sdk-ps5-payloadsdk.14558/"
41,Maid of Sker v1.09 and Mekazoo v1.02 / v1.03 PS4 FPKG Updates,https://www.psxhax.com/threads/maid-of-sker-v1-09-and-mekazoo-v1-02-v1-03-ps4-fpkg-updates.15845/,"https://www.psxhax.com/threads/latest-ps4-fpkgs-in-ps4scene-by-opoisso893-golemnight.15837/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
